AIRPORT;TIME;FLIGHT;TO/FROM;AIRLINE;AIRCRAFT;STATUS;TYPE
SOQ;9:35:00 AM;IW1513;FKQ;Wings Air ;AT76 (PK-WJM) ;Landed 9:47 AM;Arrival
SOQ;10:05:00 AM;ID6151;MKW;Batik Air ;A320 (PK-BKQ) ;Landed 9:55 AM;Arrival
SOQ;12:15:00 PM;ID6196;UPG;Batik Air ;A320 (PK-LAJ) ;Landed 12:19 PM;Arrival
SOQ;12:15:00 PM;ID6136;UPG;Batik Air ;32A ;Unknown;Arrival
SOQ;12:15:00 PM;ID6142;UPG;Batik Air ;738;Canceled;Arrival
SOQ;1:25:00 PM;IW1523;KNG;Wings Air ;AT76 (PK-WJZ) ;Landed 1:32 PM;Arrival
SOQ;1:50:00 PM;SJ571;MKW;Sriwijaya Air ;738;Unknown;Arrival
SOQ;2:05:00 PM;JT945;MKW;Lion Air ;B739 (PK-LSL) ;Landed 2:15 PM;Arrival
SOQ;2:05:00 PM;JT789;MKW;Lion Air ;738;Unknown;Arrival
SOQ;2:30:00 PM;JT799;DJJ;Lion Air ;B739 (PK-LSY) ;Landed 2:33 PM;Arrival
SOQ;2:35:00 PM;JT946;UPG;Lion Air ;739;Canceled;Arrival
SOQ;5:05:00 PM;IW1506;AMQ;Wings Air ;AT7 ;Canceled;Arrival
SOQ;6:50:00 AM;JT944;MKW;Lion Air ;B739 (PK-LSL) ;Departed 7:20 AM;Departure
SOQ;6:50:00 AM;JT788;MKW;Lion Air ;738;Unknown;Departure
SOQ;7:05:00 AM;SJ570;MKW;Sriwijaya Air ;738;Unknown;Departure
SOQ;7:15:00 AM;IW1520;BXB;Wings Air ;AT76 (PK-WJZ) ;Departed 7:27 AM;Departure
SOQ;7:20:00 AM;IW1512;FKQ;Wings Air ;AT76 (PK-WJM) ;Departed 7:40 AM;Departure
SOQ;7:35:00 AM;ID6154;MKW;Batik Air ;A320 (PK-BKQ) ;Departed 7:44 AM;Departure
