AIRPORT;TIME;FLIGHT;TO/FROM;AIRLINE;AIRCRAFT;STATUS;TYPE
AMQ;6:55:00 AM;ID6170;CGK;Batik Air ;B738 (PK-LZZ) ;Landed 6:38 AM;Arrival
AMQ;6:55:00 AM;JT888;UPG;Lion Air ;B738 (PK-LJW) ;Landed 6:45 AM;Arrival
AMQ;6:55:00 AM;JT1800;UPG;Lion Air ;739;Unknown;Arrival
AMQ;7:00:00 AM;JT880;UPG;Lion Air ;738;Unknown;Arrival
AMQ;7:15:00 AM;QG210;CGK;Citilink ;A320 (PK-GLP) ;Landed 7:05 AM;Arrival
AMQ;8:45:00 AM;JT880;UPG;Lion Air ;738;Unknown;Arrival
AMQ;9:10:00 AM;IL432;NRE;Trigana Air ;AT4 ;Unknown;Arrival
AMQ;9:20:00 AM;SJ694;TTE;Sriwijaya Air ;738;Unknown;Arrival
AMQ;11:00:00 AM;JT898;UPG;Lion Air ;739;Unknown;Arrival
AMQ;11:00:00 AM;JT786;UPG;Lion Air ;B738 (PK-LJS) ;Landed 11:11 AM;Arrival
AMQ;11:10:00 AM;IW1515;SXK;Wings Air ;AT76 (PK-WHV) ;Landed 11:22 AM;Arrival
AMQ;11:20:00 AM;SJ663;LUV;Sriwijaya Air ;738;Unknown;Arrival
AMQ;12:00:00 PM;SJ662;UPG;Sriwijaya Air ;738;Unknown;Arrival
AMQ;12:25:00 PM;IW1531;LUV;Wings Air ;AT76 (PK-WHJ) ;Landed 12:53 PM;Arrival
AMQ;12:40:00 PM;JT881;LUV;Lion Air ;B738 (PK-LJW) ;Landed 12:38 PM;Arrival
AMQ;1:20:00 PM;IL430;JIO;Trigana Air ;AT4 ;Unknown;Arrival
AMQ;2:25:00 PM;JT878;SUB;Lion Air ;738;Canceled;Arrival
AMQ;3:20:00 PM;IW1505;SOQ;Wings Air ;AT7 ;Canceled;Arrival
AMQ;3:35:00 PM;GA646;CGK;Garuda Indonesia ;B738 (PK-GFS) ;Landed 3:30 PM;Arrival
AMQ;7:25:00 AM;IW1514;SXK;Wings Air ;AT76 (PK-WHV) ;Departed 7:44 AM;Departure
AMQ;7:35:00 AM;IW1530;DOB;Wings Air ;AT76 (PK-WHJ) ;Departed 7:48 AM;Departure
AMQ;7:40:00 AM;JT791;UPG;Lion Air ;739;Unknown;Departure
AMQ;7:50:00 AM;ID6171;CGK;Batik Air ;B738 (PK-LZZ) ;Departed 8:06 AM;Departure
AMQ;7:55:00 AM;QG211;CGK;Citilink ;A320 (PK-GLP) ;Departed 8:02 AM;Departure
AMQ;8:00:00 AM;IL431;NRE;Trigana Air ;AT4 ;Unknown;Departure
AMQ;9:30:00 AM;JT880;LUV;Lion Air ;B738 (PK-LJW) ;Departed 9:33 AM;Departure
AMQ;10:05:00 AM;SJ695;TTE;Sriwijaya Air ;738;Unknown;Departure
AMQ;10:30:00 AM;IL429;JIO;Trigana Air ;AT4 ;Unknown;Departure
AMQ;11:40:00 AM;JT787;UPG;Lion Air ;B738 (PK-LJS) ;Departed 12:19 PM;Departure
AMQ;12:40:00 PM;SJ663;UPG;Sriwijaya Air ;738;Unknown;Departure
AMQ;1:20:00 PM;JT881;UPG;Lion Air ;B738 (PK-LJW) ;Departed 1:42 PM;Departure
AMQ;1:20:00 PM;JT3881;UPG;Lion Air ;738;Estimated dep. 1:42 PM;Departure
AMQ;3:30:00 PM;JT879;SUB;Lion Air ;738;Canceled;Departure
AMQ;3:40:00 PM;IW1506;SOQ;Wings Air ;AT7 ;Canceled;Departure
AMQ;4:20:00 PM;GA647;CGK;Garuda Indonesia ;B738 (PK-GFS) ;Departed 4:38 PM;Departure
BDJ;4:30:00 AM;RI360;BPN;Rimbun Air ;73F ;Unknown;Arrival
BDJ;8:30:00 AM;IU628;CGK;Super Air Jet ;A320 (PK-SJF) ;Landed 8:31 AM;Arrival
BDJ;8:40:00 AM;IU634;SUB;Super Air Jet ;A320 (PK-SAO) ;Landed 8:39 AM;Arrival
BDJ;8:55:00 AM;JT522;YIA;Lion Air ;739;Canceled;Arrival
BDJ;9:30:00 AM;IW1395;BPN;Wings Air ;AT76 (PK-WGL) ;Landed 12:08 PM;Arrival
BDJ;9:35:00 AM;GA530;CGK;Garuda Indonesia ;B738 (PK-GMM) ;Landed 9:28 AM;Arrival
BDJ;9:45:00 AM;IU626;CGK;Super Air Jet ;320;Canceled;Arrival
BDJ;9:45:00 AM;QG480;CGK;Citilink ;A320 (PK-GQC) ;Landed 9:59 AM;Arrival
BDJ;10:30:00 AM;JT520;YIA;Lion Air ;B739 (PK-LGR) ;Landed 10:22 AM;Arrival
BDJ;10:55:00 AM;IU622;CGK;Super Air Jet ;A320 (PK-SAV) ;Landed 11:11 AM;Arrival
BDJ;11:00:00 AM;JT3318;SUB;Lion Air (20 years Sticker) ;B739 (PK-LHM) ;Landed 11:00 AM;Arrival
BDJ;11:10:00 AM;JT3844;DPS;Lion Air ;B739 (PK-LSK) ;Landed 11:28 AM;Arrival
BDJ;11:35:00 AM;IW1393;KBU;Wings Air ;AT76 (PK-WJU) ;Landed 11:44 AM;Arrival
BDJ;11:35:00 AM;QG486;SUB;Citilink ;A320 (PK-GQS) ;Landed 11:20 AM;Arrival
BDJ;11:40:00 AM;IW1387;BPN;Wings Air ;AT7 ;Unknown;Arrival
BDJ;12:10:00 PM;JT324;CGK;Lion Air ;B739 (PK-LSS) ;Landed 12:24 PM;Arrival
BDJ;12:25:00 PM;QG490;CGK;Citilink ;A320 (PK-GQP) ;Landed 1:08 PM;Arrival
BDJ;12:30:00 PM;IU632;SUB;Super Air Jet ;A320 (PK-SJH) ;Landed 12:47 PM;Arrival
BDJ;12:55:00 PM;JT542;SRG;Lion Air ;B739 (PK-LSP) ;Landed 12:56 PM;Arrival
BDJ;1:30:00 PM;QZ618;DPS;AirAsia ;A320 (PK-AZD) ;Landed 1:02 PM;Arrival
BDJ;1:30:00 PM;QG794;SRG;Citilink ;A320 (PK-GQC) ;Landed 1:39 PM;Arrival
BDJ;1:40:00 PM;IW1383;BTW;Wings Air ;AT76 (PK-WGL) ;Landed 2:32 PM;Arrival
BDJ;2:15:00 PM;IW1399;HMS;Wings Air ;AT76 (PK-WJU) ;Landed 4:58 PM;Arrival
BDJ;2:35:00 PM;GA532;CGK;Garuda Indonesia ;B738 (PK-GFV) ;Landed 2:39 PM;Arrival
BDJ;3:10:00 PM;JT844;DPS;Lion Air ;B739 (PK-LGR) ;Landed 3:27 PM;Arrival
BDJ;3:15:00 PM;JT523;UPG;Lion Air ;B739 (PK-LST) ;Landed 3:58 PM;Arrival
BDJ;3:25:00 PM;JT3222;SUB;Lion Air ;B739 (PK-LHI) ;Unknown;Arrival
BDJ;3:45:00 PM;JT322;CGK;Lion Air ;739;Unknown;Arrival
BDJ;4:15:00 PM;IU636;SUB;Super Air Jet ;A320 (PK-SJH) ;Landed 4:51 PM;Arrival
BDJ;4:45:00 PM;IP630;CGK;Pelita Air ;A320 (PK-PWG) ;Unknown;Arrival
BDJ;4:45:00 PM;IP612;CGK;Pelita Air ;A320 (PK-PWG) ;Landed 4:47 PM;Arrival
BDJ;5:10:00 PM;ID6210;CGK;Batik Air ;A320 (PK-BKQ) ;Landed 5:54 PM;Arrival
BDJ;5:30:00 PM;IW1385;BPN;Wings Air ;AT75 (PK-WFL) ;Landed 5:30 PM;Arrival
BDJ;5:50:00 PM;JT316;SUB;Lion Air ;B739 (PK-LHS) ;Landed 5:46 PM;Arrival
BDJ;6:20:00 PM;QG482;CGK;Citilink ;A320 (PK-GQP) ;Landed 7:24 PM;Arrival
BDJ;6:35:00 PM;QG1499;BPN;Citilink ;AT76 (PK-GJS) ;Landed 7:19 PM;Arrival
BDJ;7:10:00 PM;JT226;SUB;Lion Air ;B739 (PK-LHI) ;Landed 7:12 PM;Arrival
BDJ;7:10:00 PM;JT546;SRG;Lion Air ;B739 (PK-LGR) ;Landed 7:40 PM;Arrival
BDJ;7:10:00 PM;QG488;SUB;Citilink ;A320 (PK-GQF) ;Landed 6:54 PM;Arrival
BDJ;8:00:00 PM;JT326;CGK;Lion Air ;B739 (PK-LGU) ;Landed 7:55 PM;Arrival
BDJ;8:55:00 PM;IU624;CGK;Super Air Jet ;A320 (PK-STA) ;Landed 10:29 PM;Arrival
BDJ;9:10:00 PM;GA536;CGK;Garuda Indonesia ;B738 (PK-GNA) ;Landed 9:26 PM;Arrival
BDJ;9:15:00 PM;QG494;SUB;Citilink ;A320 (PK-GLM) ;Landed 10:03 PM;Arrival
BDJ;5:30:00 AM;RI334;CGK;Rimbun Air ;73F ;Unknown;Departure
BDJ;6:00:00 AM;IU625;CGK;Super Air Jet ;A320 (PK-STH) ;Departed 6:10 AM;Departure
BDJ;6:00:00 AM;QG483;CGK;Citilink ;A320 (PK-GQA) ;Departed 6:15 AM;Departure
BDJ;6:10:00 AM;JT311;SUB;Lion Air (20 years Sticker) ;B739 (PK-LHM) ;Departed 6:19 AM;Departure
BDJ;6:35:00 AM;IW1394;BPN;Wings Air ;AT7 ;Canceled;Departure
BDJ;7:00:00 AM;JT519;YIA;Lion Air ;739;Canceled;Departure
BDJ;7:25:00 AM;GA533;CGK;Garuda Indonesia ;B738 (PK-GFU) ;Departed 7:35 AM;Departure
BDJ;8:00:00 AM;JT315;SUB;Lion Air ;B739 (PK-LGP) ;Departed 8:04 AM;Departure
BDJ;8:00:00 AM;JT529;CGK;Lion Air ;B738 (PK-LOR) ;Departed 8:00 AM;Departure
BDJ;9:00:00 AM;IW1386;BPN;Wings Air ;AT76 (PK-WGL) ;Departed 9:21 AM;Departure
BDJ;9:30:00 AM;IU635;SUB;Super Air Jet ;A320 (PK-SAO) ;Departed 9:35 AM;Departure
BDJ;9:35:00 AM;IU629;CGK;Super Air Jet ;A320 (PK-SJF) ;Departed 9:54 AM;Departure
BDJ;9:45:00 AM;JT543;SRG;Lion Air ;B739 (PK-LSP) ;Departed 10:04 AM;Departure
BDJ;9:50:00 AM;IW1392;KBU;Wings Air ;AT76 (PK-WJU) ;Departed 10:06 AM;Departure
BDJ;10:15:00 AM;QG795;SRG;Citilink ;A320 (PK-GQC) ;Departed 10:47 AM;Departure
BDJ;10:20:00 AM;GA535;CGK;Garuda Indonesia ;B738 (PK-GMM) ;Departed 10:38 AM;Departure
BDJ;10:45:00 AM;IU627;CGK;Super Air Jet ;320;Unknown;Departure
BDJ;11:40:00 AM;JT3319;SUB;Lion Air (20 years Sticker) ;B739 (PK-LHM) ;Departed 11:57 AM;Departure
BDJ;11:55:00 AM;IU623;CGK;Super Air Jet ;A320 (PK-SAV) ;Departed 12:28 PM;Departure
BDJ;11:55:00 AM;IW1398;HMS;Wings Air ;AT76 (PK-WJU) ;Departed 3:04 PM;Departure
BDJ;12:00:00 PM;IW1382;BTW;Wings Air ;AT76 (PK-WGL) ;Departed 1:06 PM;Departure
BDJ;12:00:00 PM;JT845;DPS;Lion Air ;B739 (PK-LGR) ;Departed 12:13 PM;Departure
BDJ;12:05:00 PM;QG487;SUB;Citilink ;A320 (PK-GQS) ;Departed 12:20 PM;Departure
BDJ;12:30:00 PM;JT3845;DPS;Lion Air ;B739 (PK-LSK) ;Departed 12:59 PM;Departure
BDJ;12:50:00 PM;JT325;CGK;Lion Air ;B739 (PK-LSS) ;Departed 1:45 PM;Departure
BDJ;1:05:00 PM;QG491;CGK;Citilink ;A320 (PK-GQP) ;Departed 2:12 PM;Departure
BDJ;1:10:00 PM;IU633;SUB;Super Air Jet ;A320 (PK-SJH) ;Departed 1:49 PM;Departure
BDJ;1:40:00 PM;JT521;YIA;Lion Air ;B739 (PK-LSP) ;Departed 2:07 PM;Departure
BDJ;2:00:00 PM;QZ619;DPS;AirAsia ;A320 (PK-AZD) ;Departed 1:59 PM;Departure
BDJ;2:05:00 PM;QG481;CGK;Citilink ;A320 (PK-GQC) ;Departed 2:43 PM;Departure
BDJ;2:50:00 PM;IW1384;BPN;Wings Air ;AT76 (PK-WGL) ;Departed 3:32 PM;Departure
BDJ;3:20:00 PM;GA537;CGK;Garuda Indonesia ;B738 (PK-GFV) ;Departed 4:02 PM;Departure
BDJ;3:50:00 PM;JT547;SRG;Lion Air ;B739 (PK-LGR) ;Departed 4:23 PM;Departure
BDJ;4:05:00 PM;JT223;SUB;Lion Air ;B739 (PK-LHI) ;Departed 4:15 PM;Departure
BDJ;4:10:00 PM;JT524;UPG;Lion Air ;B739 (PK-LST) ;Departed 5:04 PM;Departure
BDJ;4:30:00 PM;JT323;CGK;Lion Air ;739;Unknown;Departure
BDJ;5:00:00 PM;IU637;SUB;Super Air Jet ;A320 (PK-SJH) ;Departed 5:43 PM;Departure
BDJ;5:25:00 PM;IP631;CGK;Pelita Air ;A320 (PK-PWI) ;Estimated dep. 5:39 PM;Departure
BDJ;5:25:00 PM;IP613;CGK;Pelita Air ;A320 (PK-PWG) ;Departed 5:38 PM;Departure
BDJ;5:55:00 PM;ID6211;CGK;Batik Air ;A320 (PK-BKQ) ;Departed 6:52 PM;Departure
BDJ;6:50:00 PM;QG489;SUB;Citilink ;A320 (PK-GQP) ;Departed 8:16 PM;Departure
BDJ;8:05:00 PM;QG495;SUB;Citilink ;A320 (PK-GQF) ;Departed 8:22 PM;Departure
BEJ;8:45:00 AM;ID6430;CGK;Batik Air ;A320 (PK-LUT) ;Unknown;Arrival
BEJ;10:00:00 AM;IW1366;BPN;Wings Air ;AT76 (PK-WJG) ;Unknown;Arrival
BEJ;10:00:00 AM;IW1362;BPN;Wings Air ;AT76 (PK-WJG) ;Unknown;Arrival
BEJ;11:35:00 AM;QG1402;BPN;Citilink ;AT76 (PK-GJS) ;Unknown;Arrival
BEJ;12:50:00 PM;IW1484;AAP;Wings Air ;AT76 (PK-WJG) ;Unknown;Arrival
BEJ;1:40:00 PM;ID6346;SUB;Batik Air ;A320 (PK-LUO) ;Unknown;Arrival
BEJ;2:15:00 PM;IW1364;BPN;Wings Air ;AT75 (PK-WFP) ;Unknown;Arrival
BEJ;3:15:00 PM;QG1404;BPN;Citilink ;AT76 (PK-GJS) ;Unknown;Arrival
BEJ;5:45:00 PM;IW1378;BPN;Wings Air ;AT7 ;Canceled;Arrival
BEJ;5:45:00 PM;IW1380;BPN;Wings Air ;AT76 (PK-WGL) ;Unknown;Arrival
BEJ;6:15:00 PM;IW1360;BPN;Wings Air ;AT7 ;Canceled;Arrival
BEJ;7:00:00 AM;IW1361;BPN;Wings Air ;AT76 (PK-WJG) ;Departed 7:12 AM;Departure
BEJ;7:50:00 AM;IW1363;BPN;Wings Air ;AT7 ;Canceled;Departure
BEJ;9:30:00 AM;ID6431;CGK;Batik Air ;A320 (PK-LUT) ;Departed 9:38 AM;Departure
BEJ;9:40:00 AM;IW1381;BPN;Wings Air ;AT75 (PK-WFJ) ;Departed 9:28 AM;Departure
BEJ;10:30:00 AM;IW1485;AAP;Wings Air ;AT76 (PK-WJG) ;Departed 10:31 AM;Departure
BEJ;11:10:00 AM;IW1365;BPN;Wings Air ;AT75 (PK-WFP) ;Departed 11:01 AM;Departure
BEJ;12:05:00 PM;QG1403;BPN;Citilink ;AT76 (PK-GJS) ;Departed 12:11 PM;Departure
BEJ;1:10:00 PM;IW1367;BPN;Wings Air ;AT7 ;Canceled;Departure
BEJ;2:20:00 PM;ID6347;SUB;Batik Air ;A320 (PK-LUO) ;Departed 2:26 PM;Departure
BEJ;2:40:00 PM;IW1379;BPN;Wings Air ;AT7 ;Canceled;Departure
BEJ;3:40:00 PM;QG1405;BPN;Citilink ;AT76 (PK-GJS) ;Departed 4:34 PM;Departure
BIK;7:00:00 AM;SJ582;UPG;Sriwijaya Air ;738;Unknown;Arrival
BIK;7:05:00 AM;JT800;UPG;Lion Air ;739;Unknown;Arrival
BIK;7:05:00 AM;JT938;UPG;Lion Air ;B738 (PK-LOJ) ;Landed 8:05 AM;Arrival
BIK;7:05:00 AM;JT1880;UPG;Lion Air ;738;Unknown;Arrival
BIK;9:25:00 AM;IL294;ZRI;Trigana Air ;AT4 ;Unknown;Arrival
BIK;10:55:00 AM;JT939;DJJ;Lion Air ;B738 (PK-LOJ) ;Landed 12:50 PM;Arrival
BIK;11:05:00 AM;SJ583;DJJ;Sriwijaya Air ;738;Unknown;Arrival
BIK;12:05:00 PM;GA651;DJJ;Garuda Indonesia ;B738 (PK-GMI) ;Landed 12:26 PM;Arrival
BIK;7:45:00 AM;JT938;DJJ;Lion Air ;B738 (PK-LOJ) ;Departed 9:51 AM;Departure
BIK;7:45:00 AM;SJ582;DJJ;Sriwijaya Air ;738;Unknown;Departure
BIK;9:55:00 AM;IL293;ZRI;Trigana Air ;AT4 ;Unknown;Departure
BIK;11:45:00 AM;JT939;UPG;Lion Air ;B738 (PK-LOJ) ;Departed 1:49 PM;Departure
BIK;11:45:00 AM;SJ583;UPG;Sriwijaya Air ;738;Unknown;Departure
BIK;11:45:00 AM;JT709;UPG;Lion Air ;738;Unknown;Departure
BIK;1:05:00 PM;GA650;DJJ;Garuda Indonesia ;B738 (PK-GMI) ;Departed 1:18 PM;Departure
BKS;10:10:00 AM;JT638;CGK;Lion Air ;739;Canceled;Arrival
BKS;11:45:00 AM;QG990;CGK;Citilink ;A320 (PK-GLO) ;Landed 11:49 AM;Arrival
BKS;12:00:00 PM;IU834;CGK;Super Air Jet ;A320 (PK-STF) ;Landed 12:19 PM;Arrival
BKS;1:20:00 PM;GA296;CGK;Garuda Indonesia ;B738 (PK-GUD) ;Landed 1:22 PM;Arrival
BKS;2:05:00 PM;JT636;CGK;Lion Air (80th 737NG Livery) ;B738 (PK-LKP) ;Landed 2:01 PM;Arrival
BKS;5:55:00 PM;JT630;CGK;Lion Air ;B738 (PK-LKW) ;Landed 6:10 PM;Arrival
BKS;7:00:00 AM;JT631;CGK;Lion Air ;B739 (PK-LSV) ;Departed 7:08 AM;Departure
BKS;10:50:00 AM;JT639;CGK;Lion Air ;739;Canceled;Departure
BKS;12:15:00 PM;QG991;CGK;Citilink ;A320 (PK-GLO) ;Departed 12:31 PM;Departure
BKS;12:40:00 PM;IU835;CGK;Super Air Jet ;A320 (PK-STF) ;Departed 1:07 PM;Departure
BKS;2:05:00 PM;GA297;CGK;Garuda Indonesia ;B738 (PK-GUD) ;Departed 2:15 PM;Departure
BKS;2:45:00 PM;JT637;CGK;Lion Air (80th 737NG Livery) ;B738 (PK-LKP) ;Departed 2:56 PM;Departure
BMU;4:25:00 PM;IW1864;LOP;Wings Air ;AT75 (PK-WFR) ;Landed 4:59 PM;Arrival
BMU;4:35:00 PM;IW1826;DPS;Wings Air ;AT76 (PK-WGK) ;Landed 5:32 PM;Arrival
BMU;7:15:00 AM;IW1827;DPS;Wings Air ;AT75 (PK-WFH) ;Departed 7:12 AM;Departure
BMU;7:30:00 AM;IW1865;LOP;Wings Air ;AT76 (PK-WHW) ;Departed 7:34 AM;Departure
BPN;2:15:00 AM;RI350;CGK;Rimbun Air ;73F ;Unknown;Arrival
BPN;7:35:00 AM;IU610;SUB;Super Air Jet ;A320 (PK-SAY) ;Landed 7:24 AM;Arrival
BPN;7:40:00 AM;ID6252;CGK;Batik Air ;A320 (PK-LUU) ;Landed 7:32 AM;Arrival
BPN;7:45:00 AM;IW1394;BDJ;Wings Air ;AT7 ;Canceled;Arrival
BPN;7:45:00 AM;QG430;SUB;Citilink ;A20N (PK-GTA) ;Landed 7:28 AM;Arrival
BPN;7:50:00 AM;IU535;UPG;Super Air Jet ;A320 (PK-SJH) ;Landed 8:30 AM;Arrival
BPN;8:15:00 AM;IW1361;BEJ;Wings Air ;AT76 (PK-WJG) ;Landed 8:10 AM;Arrival
BPN;8:35:00 AM;JT266;SUB;Lion Air ;B739 (PK-LHP) ;Landed 8:37 AM;Arrival
BPN;9:05:00 AM;GA560;CGK;Garuda Indonesia (Retro Livery) ;A333 (PK-GHD) ;Landed 9:04 AM;Arrival
BPN;9:05:00 AM;IW1363;BEJ;Wings Air ;AT7 ;Canceled;Arrival
BPN;9:15:00 AM;QG436;CGK;Citilink ;A320 (PK-GQE) ;Landed 8:54 AM;Arrival
BPN;9:40:00 AM;IP600;CGK;Pelita Air ;A320 (PK-PWA) ;Landed 9:32 AM;Arrival
BPN;9:45:00 AM;JT624;SRG;Lion Air ;B739 (PK-LFW) ;Landed 9:41 AM;Arrival
BPN;10:10:00 AM;IW1386;BDJ;Wings Air ;AT76 (PK-WGL) ;Landed 10:22 AM;Arrival
BPN;10:10:00 AM;GM61;HLP;Asia Cargo Airlines ;B733 (PK-MGI) ;Landed 10:11 AM;Arrival
BPN;10:15:00 AM;JT756;CGK;Lion Air ;B39M (PK-LRI) ;Landed 9:54 AM;Arrival
BPN;10:20:00 AM;TR222;SIN;Scoot ;A320 (9V-TRS) ;Landed 10:19 AM;Arrival
BPN;10:35:00 AM;IU676;YIA;Super Air Jet ;A320 (PK-STS) ;Landed 10:29 AM;Arrival
BPN;10:45:00 AM;IU612;SUB;Super Air Jet ;A320 (PK-STC) ;Landed 10:37 AM;Arrival
BPN;10:50:00 AM;IP621;SUB;Pelita Air ;A320 (PK-PWL) ;Landed 10:14 AM;Arrival
BPN;10:55:00 AM;IW1381;BEJ;Wings Air ;AT75 (PK-WFJ) ;Landed 10:24 AM;Arrival
BPN;11:10:00 AM;IU666;PNK;Super Air Jet ;A320 (PK-SJI) ;Landed 11:26 AM;Arrival
BPN;11:10:00 AM;QG438;CGK;Citilink ;A320 (PK-GLX) ;Landed 11:40 AM;Arrival
BPN;11:20:00 AM;JT260;SUB;Lion Air ;B739 (PK-LHP) ;Landed 1:32 PM;Arrival
BPN;11:30:00 AM;JT669;YIA;Lion Air ;B739 (PK-LGW) ;Landed 11:17 AM;Arrival
BPN;11:35:00 AM;IU534;TRK;Super Air Jet ;A320 (PK-SAY) ;Landed 12:24 PM;Arrival
BPN;11:50:00 AM;GA564;CGK;Garuda Indonesia ;B738 (PK-GMC) ;Landed 11:51 AM;Arrival
BPN;12:00:00 PM;AK483;KUL;AirAsia ;A320 (9M-RAN) ;Landed 12:02 PM;Arrival
BPN;12:05:00 PM;IU614;SUB;Super Air Jet ;A320 (PK-STI) ;Landed 12:20 PM;Arrival
BPN;12:15:00 PM;JT760;CGK;Lion Air (Dreamliner Livery) ;B739 (PK-LFG) ;Landed 12:12 PM;Arrival
BPN;12:25:00 PM;IW1365;BEJ;Wings Air ;AT75 (PK-WFP) ;Landed 12:11 PM;Arrival
BPN;12:30:00 PM;QG784;YIA;Citilink ;A20N (PK-GTA) ;Landed 12:29 PM;Arrival
BPN;12:50:00 PM;QG401;TRK;Citilink ;A320 (PK-GQE) ;Landed 12:41 PM;Arrival
BPN;1:05:00 PM;JT262;SUB;Lion Air ;B739 (PK-LHP) ;Unknown;Arrival
BPN;1:20:00 PM;IU529;MDC;Super Air Jet ;A320 (PK-STP) ;Landed 1:23 PM;Arrival
BPN;1:25:00 PM;QG1403;BEJ;Citilink ;AT76 (PK-GJS) ;Landed 1:10 PM;Arrival
BPN;1:35:00 PM;JT676;UPG;Lion Air ;739;Unknown;Arrival
BPN;1:35:00 PM;JT952;KNO;Lion Air ;B39M (PK-LRG) ;Landed 1:27 PM;Arrival
BPN;1:35:00 PM;JT953;UPG;Lion Air ;738;Unknown;Arrival
BPN;2:00:00 PM;IW1323;PLW;Wings Air ;AT75 (PK-WFJ) ;Landed 2:07 PM;Arrival
BPN;2:00:00 PM;IW1475;GHS;Wings Air ;AT75 (PK-WFL) ;Landed 1:37 PM;Arrival
BPN;2:15:00 PM;IU602;CGK;Super Air Jet ;A320 (PK-SJF) ;Landed 2:57 PM;Arrival
BPN;2:15:00 PM;IU693;TRK;Super Air Jet ;A320 (PK-STC) ;Landed 2:50 PM;Arrival
BPN;2:25:00 PM;IW1367;BEJ;Wings Air ;AT7 ;Unknown;Arrival
BPN;2:55:00 PM;IU3667;UPG;Super Air Jet ;A320 (PK-SJI) ;Landed 3:26 PM;Arrival
BPN;3:05:00 PM;JT660;DPS;Lion Air ;B739 (PK-LFW) ;Landed 2:54 PM;Arrival
BPN;3:10:00 PM;IU618;SUB;Super Air Jet ;A320 (PK-STS) ;Landed 3:33 PM;Arrival
BPN;3:30:00 PM;SJ173;UPG;Sriwijaya Air ;738;Unknown;Arrival
BPN;3:55:00 PM;IW1379;BEJ;Wings Air ;AT7 ;Unknown;Arrival
BPN;4:05:00 PM;IW1384;BDJ;Wings Air ;AT76 (PK-WGL) ;Landed 4:33 PM;Arrival
BPN;4:15:00 PM;JT750;CGK;Lion Air ;B39M (PK-LRI) ;Landed 4:16 PM;Arrival
BPN;4:15:00 PM;IP602;CGK;Pelita Air ;A320 (PK-PWH) ;Landed 4:12 PM;Arrival
BPN;4:35:00 PM;QG432;KJT;Citilink ;A320 (PK-GLX) ;Landed 4:53 PM;Arrival
BPN;5:00:00 PM;QG1405;BEJ;Citilink ;AT76 (PK-GJS) ;Landed 5:42 PM;Arrival
BPN;5:20:00 PM;ID6250;CGK;Batik Air ;A320 (PK-BKV) ;Landed 5:07 PM;Arrival
BPN;5:20:00 PM;IU367;SOC;Super Air Jet ;A320 (PK-STI) ;Landed 5:34 PM;Arrival
BPN;5:25:00 PM;GA572;CGK;Garuda Indonesia ;B738 (PK-GFU) ;Landed 5:37 PM;Arrival
BPN;5:25:00 PM;QG424;CGK;Citilink ;A320 (PK-GLV) ;Landed 5:51 PM;Arrival
BPN;5:30:00 PM;JT730;SUB;Lion Air ;B739 (PK-LHP) ;Landed 6:20 PM;Arrival
BPN;5:40:00 PM;QG434;SUB;Citilink ;A320 (PK-GQH) ;Landed 6:18 PM;Arrival
BPN;5:55:00 PM;IU678;YIA;Super Air Jet (Our Super 50th Jet Livery) ;A320 (PK-STQ) ;Landed 5:58 PM;Arrival
BPN;6:15:00 PM;JT762;CGK;Lion Air ;B739 (PK-LFY) ;Landed 6:15 PM;Arrival
BPN;6:20:00 PM;JT662;UPG;Lion Air ;B738 (PK-LSF) ;Landed 6:12 PM;Arrival
BPN;6:35:00 PM;IW1368;PKY;Wings Air ;AT75 (PK-WFJ) ;Landed 6:31 PM;Arrival
BPN;6:35:00 PM;JT362;SUB;Lion Air ;739;Unknown;Arrival
BPN;6:50:00 PM;IU528;KJT;Super Air Jet ;A320 (PK-STP) ;Landed 6:33 PM;Arrival
BPN;7:00:00 PM;QG420;CGK;Citilink ;A320 (PK-GLP) ;Landed 8:15 PM;Arrival
BPN;7:15:00 PM;ID6254;CGK;Batik Air ;738;Unknown;Arrival
BPN;7:35:00 PM;IP623;SUB;Pelita Air ;A320 (PK-PWF) ;Landed 7:22 PM;Arrival
BPN;7:35:00 PM;IU648;SUB;Super Air Jet ;A320 (PK-SGC) ;Landed 8:24 PM;Arrival
BPN;8:25:00 PM;QG428;UPG;Citilink ;A320 (PK-GLX) ;Landed 8:28 PM;Arrival
BPN;8:25:00 PM;QG9436;SUB;Citilink ;A320 (PK-GQR) ;Landed 8:42 PM;Arrival
BPN;8:55:00 PM;IU600;CGK;Super Air Jet ;A320 (PK-STT) ;Landed 9:44 PM;Arrival
BPN;9:10:00 PM;JT366;SUB;Lion Air ;B739 (PK-LGP) ;Landed 9:50 PM;Arrival
BPN;9:35:00 PM;ID6764;DPS;Batik Air ;A320 (PK-BLB) ;Landed 9:50 PM;Arrival
BPN;3:15:00 AM;RI360;BDJ;Rimbun Air ;73F ;Unknown;Departure
BPN;6:00:00 AM;IU601;CGK;Super Air Jet ;A320 (PK-SAS) ;Departed;Departure
BPN;6:00:00 AM;JT363;SUB;Lion Air ;B738 (PK-LJR) ;Departed 6:11 AM;Departure
BPN;6:05:00 AM;QG439;CGK;Citilink ;A320 (PK-GLV) ;Departed 6:14 AM;Departure
BPN;6:25:00 AM;IP620;SUB;Pelita Air ;A320 (PK-PWL) ;Departed 6:27 AM;Departure
