AIRPORT,TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS,TYPE
AAP,8:15:00 AM,ID6672,Jakarta (CGK),Batik Air ,B738 (PK-LDK) ,Landed 8:07 AM,Arrival
AAP,9:25:00 AM,IU640,Surabaya (SUB),Super Air Jet ,A320 (PK-SJV) ,Landed 10:00 AM,Arrival
AAP,10:05:00 AM,QG460,Surabaya (SUB),Citilink ,A320 (PK-GQH) ,Landed 10:13 AM,Arrival
AAP,10:10:00 AM,IU533,Makassar (UPG),Super Air Jet ,A320 (PK-SGC) ,Landed 9:44 AM,Arrival
AAP,11:30:00 AM,IW1485,Kalimarau (BEJ),Wings Air ,AT76 (PK-WJG) ,Landed 11:17 AM,Arrival
AAP,11:35:00 AM,JT314,Surabaya (SUB),Lion Air ,B738 (PK-LJV) ,Landed 11:43 AM,Arrival
AAP,12:50:00 PM,IU658,Yogyakarta (YIA),Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Landed 12:37 PM,Arrival
AAP,1:10:00 PM,ID6256,Jakarta (CGK),Batik Air ,A320 (PK-LZH) ,Landed 1:35 PM,Arrival
AAP,3:10:00 PM,QG422,Jakarta (CGK),Citilink ,A320 (PK-GQA) ,Landed 3:34 PM,Arrival
AAP,8:55:00 AM,ID6673,Jakarta (CGK),Batik Air ,B738 (PK-LDK) ,Departed 9:00 AM,Departure
AAP,9:25:00 AM,IU641,Surabaya (SUB),Super Air Jet ,A320 (PK-SJV) ,Departed 10:48 AM,Departure
AAP,10:40:00 AM,QG461,Surabaya (SUB),Citilink ,A320 (PK-GQH) ,Departed 10:53 AM,Departure
AAP,10:50:00 AM,IU532,Makassar (UPG),Super Air Jet ,A320 (PK-SGC) ,Departed 10:39 AM,Departure
AAP,11:50:00 AM,IW1484,Kalimarau (BEJ),Wings Air ,AT76 (PK-WJG) ,Departed 12:12 PM,Departure
AAP,12:20:00 PM,JT317,Surabaya (SUB),Lion Air ,B738 (PK-LJV) ,Departed 12:39 PM,Departure
AAP,1:30:00 PM,IU659,Yogyakarta (YIA),Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Departed 1:37 PM,Departure
AAP,1:50:00 PM,ID6257,Jakarta (CGK),Batik Air ,A320 (PK-LZH) ,Departed 2:24 PM,Departure
AAP,3:40:00 PM,QG423,Jakarta (CGK),Citilink ,A320 (PK-GQA) ,Departed 4:23 PM,Departure
ABU,12:25:00 PM,IW1955,Kupang (KOE),Wings Air ,AT76 (PK-WGU) ,Landed 12:16 PM,Arrival
ABU,12:50:00 PM,IW1954,Kupang (KOE),Wings Air ,AT76 (PK-WGU) ,Estimated dep. 12:46 PM,Departure
AMQ,6:55:00 AM,ID6170,Jakarta (CGK),Batik Air ,B738 (PK-LZZ) ,Landed 6:38 AM,Arrival
AMQ,6:55:00 AM,JT888,Makassar (UPG),Lion Air ,B738 (PK-LJW) ,Landed 6:45 AM,Arrival
AMQ,6:55:00 AM,JT1800,Makassar (UPG),Lion Air ,739,Unknown,Arrival
AMQ,7:00:00 AM,JT880,Makassar (UPG),Lion Air ,738,Unknown,Arrival
AMQ,7:15:00 AM,QG210,Jakarta (CGK),Citilink ,A320 (PK-GLP) ,Landed 7:05 AM,Arrival
AMQ,8:45:00 AM,JT880,Makassar (UPG),Lion Air ,738,Unknown,Arrival
AMQ,9:10:00 AM,IL432,Namrole-Buru Island (NRE),Trigana Air ,AT4 ,Unknown,Arrival
AMQ,9:20:00 AM,SJ694,Ternate (TTE),Sriwijaya Air ,738,Unknown,Arrival
AMQ,11:00:00 AM,JT898,Makassar (UPG),Lion Air ,739,Unknown,Arrival
AMQ,11:00:00 AM,JT786,Makassar (UPG),Lion Air ,B738 (PK-LJS) ,Landed 11:11 AM,Arrival
AMQ,11:10:00 AM,IW1515,Saumlaki (SXK),Wings Air ,AT76 (PK-WHV) ,Landed 11:22 AM,Arrival
AMQ,11:20:00 AM,SJ663,Langgur (LUV),Sriwijaya Air ,738,Unknown,Arrival
AMQ,12:00:00 PM,SJ662,Makassar (UPG),Sriwijaya Air ,738,Unknown,Arrival
AMQ,12:25:00 PM,IW1531,Langgur (LUV),Wings Air ,AT76 (PK-WHJ) ,Landed 12:53 PM,Arrival
AMQ,12:40:00 PM,JT881,Langgur (LUV),Lion Air ,B738 (PK-LJW) ,Landed 12:38 PM,Arrival
AMQ,1:20:00 PM,IL430,Tiakur (JIO),Trigana Air ,AT4 ,Unknown,Arrival
AMQ,2:25:00 PM,JT878,Surabaya (SUB),Lion Air ,738,Canceled,Arrival
AMQ,3:20:00 PM,IW1505,Sorong (SOQ),Wings Air ,AT7 ,Canceled,Arrival
AMQ,3:35:00 PM,GA646,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFS) ,Landed 3:30 PM,Arrival
AMQ D,7:25:00 AM,IW1514,Saumlaki (SXK),Wings Air ,AT76 (PK-WHV) ,Departed 7:44 AM,Departure
AMQ D,7:35:00 AM,IW1530,Dobo (DOB),Wings Air ,AT76 (PK-WHJ) ,Departed 7:48 AM,Departure
AMQ D,7:40:00 AM,JT791,Makassar (UPG),Lion Air ,739,Unknown,Departure
AMQ D,7:50:00 AM,ID6171,Jakarta (CGK),Batik Air ,B738 (PK-LZZ) ,Departed 8:06 AM,Departure
AMQ D,7:55:00 AM,QG211,Jakarta (CGK),Citilink ,A320 (PK-GLP) ,Departed 8:02 AM,Departure
AMQ D,8:00:00 AM,IL431,Namrole-Buru Island (NRE),Trigana Air ,AT4 ,Unknown,Departure
AMQ D,9:30:00 AM,JT880,Langgur (LUV),Lion Air ,B738 (PK-LJW) ,Departed 9:33 AM,Departure
AMQ D,10:05:00 AM,SJ695,Ternate (TTE),Sriwijaya Air ,738,Unknown,Departure
AMQ D,10:30:00 AM,IL429,Tiakur (JIO),Trigana Air ,AT4 ,Unknown,Departure
AMQ D,11:40:00 AM,JT787,Makassar (UPG),Lion Air ,B738 (PK-LJS) ,Departed 12:19 PM,Departure
AMQ D,12:40:00 PM,SJ663,Makassar (UPG),Sriwijaya Air ,738,Unknown,Departure
AMQ D,1:20:00 PM,JT881,Makassar (UPG),Lion Air ,B738 (PK-LJW) ,Departed 1:42 PM,Departure
AMQ D,1:20:00 PM,JT3881,Makassar (UPG),Lion Air ,738,Estimated dep. 1:42 PM,Departure
AMQ D,3:30:00 PM,JT879,Surabaya (SUB),Lion Air ,738,Canceled,Departure
AMQ D,3:40:00 PM,IW1506,Sorong (SOQ),Wings Air ,AT7 ,Canceled,Departure
AMQ D,4:20:00 PM,GA647,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFS) ,Departed 4:38 PM,Departure
ARD,9:10:00 AM,IW1943,Kupang (KOE),Wings Air ,AT76 (PK-WHM) ,Landed 9:20 AM,Arrival
ARD,9:30:00 AM,IW1942,Kupang (KOE),Wings Air ,AT76 (PK-WHM) ,Departed 9:55 AM,Departure
BDJ,4:30:00 AM,RI360,Balikpapan (BPN),Rimbun Air ,73F ,Unknown,Arrival
BDJ,8:30:00 AM,IU628,Jakarta (CGK),Super Air Jet ,A320 (PK-SJF) ,Landed 8:31 AM,Arrival
BDJ,8:40:00 AM,IU634,Surabaya (SUB),Super Air Jet ,A320 (PK-SAO) ,Landed 8:39 AM,Arrival
BDJ,8:55:00 AM,JT522,Yogyakarta (YIA),Lion Air ,739,Canceled,Arrival
BDJ,9:30:00 AM,IW1395,Balikpapan (BPN),Wings Air ,AT76 (PK-WGL) ,Landed 12:08 PM,Arrival
BDJ,9:35:00 AM,GA530,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GMM) ,Landed 9:28 AM,Arrival
BDJ,9:45:00 AM,IU626,Jakarta (CGK),Super Air Jet ,320,Canceled,Arrival
BDJ,9:45:00 AM,QG480,Jakarta (CGK),Citilink ,A320 (PK-GQC) ,Landed 9:59 AM,Arrival
BDJ,10:30:00 AM,JT520,Yogyakarta (YIA),Lion Air ,B739 (PK-LGR) ,Landed 10:22 AM,Arrival
BDJ,10:55:00 AM,IU622,Jakarta (CGK),Super Air Jet ,A320 (PK-SAV) ,Landed 11:11 AM,Arrival
BDJ,11:00:00 AM,JT3318,Surabaya (SUB),Lion Air (20 years Sticker) ,B739 (PK-LHM) ,Landed 11:00 AM,Arrival
BDJ,11:10:00 AM,JT3844,Denpasar (DPS),Lion Air ,B739 (PK-LSK) ,Landed 11:28 AM,Arrival
BDJ,11:35:00 AM,IW1393,Kotabaru (KBU),Wings Air ,AT76 (PK-WJU) ,Landed 11:44 AM,Arrival
BDJ,11:35:00 AM,QG486,Surabaya (SUB),Citilink ,A320 (PK-GQS) ,Landed 11:20 AM,Arrival
BDJ,11:40:00 AM,IW1387,Balikpapan (BPN),Wings Air ,AT7 ,Unknown,Arrival
BDJ,12:10:00 PM,JT324,Jakarta (CGK),Lion Air ,B739 (PK-LSS) ,Landed 12:24 PM,Arrival
BDJ,12:25:00 PM,QG490,Jakarta (CGK),Citilink ,A320 (PK-GQP) ,Landed 1:08 PM,Arrival
BDJ,12:30:00 PM,IU632,Surabaya (SUB),Super Air Jet ,A320 (PK-SJH) ,Landed 12:47 PM,Arrival
BDJ,12:55:00 PM,JT542,Semarang (SRG),Lion Air ,B739 (PK-LSP) ,Landed 12:56 PM,Arrival
BDJ,1:30:00 PM,QZ618,Denpasar (DPS),AirAsia ,A320 (PK-AZD) ,Landed 1:02 PM,Arrival
BDJ,1:30:00 PM,QG794,Semarang (SRG),Citilink ,A320 (PK-GQC) ,Landed 1:39 PM,Arrival
BDJ,1:40:00 PM,IW1383,Batu Licin (BTW),Wings Air ,AT76 (PK-WGL) ,Landed 2:32 PM,Arrival
BDJ,2:15:00 PM,IW1399,Muara Teweh (HMS),Wings Air ,AT76 (PK-WJU) ,Landed 4:58 PM,Arrival
BDJ,2:35:00 PM,GA532,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFV) ,Landed 2:39 PM,Arrival
BDJ,3:10:00 PM,JT844,Denpasar (DPS),Lion Air ,B739 (PK-LGR) ,Landed 3:27 PM,Arrival
BDJ,3:15:00 PM,JT523,Makassar (UPG),Lion Air ,B739 (PK-LST) ,Landed 3:58 PM,Arrival
BDJ,3:25:00 PM,JT3222,Surabaya (SUB),Lion Air ,B739 (PK-LHI) ,Unknown,Arrival
BDJ,3:45:00 PM,JT322,Jakarta (CGK),Lion Air ,739,Unknown,Arrival
BDJ,4:15:00 PM,IU636,Surabaya (SUB),Super Air Jet ,A320 (PK-SJH) ,Landed 4:51 PM,Arrival
BDJ,4:45:00 PM,IP630,Jakarta (CGK),Pelita Air ,A320 (PK-PWG) ,Unknown,Arrival
BDJ,4:45:00 PM,IP612,Jakarta (CGK),Pelita Air ,A320 (PK-PWG) ,Landed 4:47 PM,Arrival
BDJ,5:10:00 PM,ID6210,Jakarta (CGK),Batik Air ,A320 (PK-BKQ) ,Landed 5:54 PM,Arrival
BDJ,5:30:00 PM,IW1385,Balikpapan (BPN),Wings Air ,AT75 (PK-WFL) ,Landed 5:30 PM,Arrival
BDJ,5:50:00 PM,JT316,Surabaya (SUB),Lion Air ,B739 (PK-LHS) ,Landed 5:46 PM,Arrival
BDJ,6:20:00 PM,QG482,Jakarta (CGK),Citilink ,A320 (PK-GQP) ,Landed 7:24 PM,Arrival
BDJ,6:35:00 PM,QG1499,Balikpapan (BPN),Citilink ,AT76 (PK-GJS) ,Landed 7:19 PM,Arrival
BDJ,7:10:00 PM,JT226,Surabaya (SUB),Lion Air ,B739 (PK-LHI) ,Landed 7:12 PM,Arrival
BDJ,7:10:00 PM,JT546,Semarang (SRG),Lion Air ,B739 (PK-LGR) ,Landed 7:40 PM,Arrival
BDJ,7:10:00 PM,QG488,Surabaya (SUB),Citilink ,A320 (PK-GQF) ,Landed 6:54 PM,Arrival
BDJ,8:00:00 PM,JT326,Jakarta (CGK),Lion Air ,B739 (PK-LGU) ,Landed 7:55 PM,Arrival
BDJ,8:55:00 PM,IU624,Jakarta (CGK),Super Air Jet ,A320 (PK-STA) ,Landed 10:29 PM,Arrival
BDJ,9:10:00 PM,GA536,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GNA) ,Landed 9:26 PM,Arrival
BDJ,9:15:00 PM,QG494,Surabaya (SUB),Citilink ,A320 (PK-GLM) ,Landed 10:03 PM,Arrival
BDJ,5:30:00 AM,RI334,Jakarta (CGK),Rimbun Air ,73F ,Unknown,Departure
BDJ,6:00:00 AM,IU625,Jakarta (CGK),Super Air Jet ,A320 (PK-STH) ,Departed 6:10 AM,Departure
BDJ,6:00:00 AM,QG483,Jakarta (CGK),Citilink ,A320 (PK-GQA) ,Departed 6:15 AM,Departure
BDJ,6:10:00 AM,JT311,Surabaya (SUB),Lion Air (20 years Sticker) ,B739 (PK-LHM) ,Departed 6:19 AM,Departure
BDJ,6:35:00 AM,IW1394,Balikpapan (BPN),Wings Air ,AT7 ,Canceled,Departure
BDJ,7:00:00 AM,JT519,Yogyakarta (YIA),Lion Air ,739,Canceled,Departure
BDJ,7:25:00 AM,GA533,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFU) ,Departed 7:35 AM,Departure
BDJ,8:00:00 AM,JT315,Surabaya (SUB),Lion Air ,B739 (PK-LGP) ,Departed 8:04 AM,Departure
BDJ,8:00:00 AM,JT529,Jakarta (CGK),Lion Air ,B738 (PK-LOR) ,Departed 8:00 AM,Departure
BDJ,9:00:00 AM,IW1386,Balikpapan (BPN),Wings Air ,AT76 (PK-WGL) ,Departed 9:21 AM,Departure
BDJ,9:30:00 AM,IU635,Surabaya (SUB),Super Air Jet ,A320 (PK-SAO) ,Departed 9:35 AM,Departure
BDJ,9:35:00 AM,IU629,Jakarta (CGK),Super Air Jet ,A320 (PK-SJF) ,Departed 9:54 AM,Departure
BDJ,9:45:00 AM,JT543,Semarang (SRG),Lion Air ,B739 (PK-LSP) ,Departed 10:04 AM,Departure
BDJ,9:50:00 AM,IW1392,Kotabaru (KBU),Wings Air ,AT76 (PK-WJU) ,Departed 10:06 AM,Departure
BDJ,10:15:00 AM,QG795,Semarang (SRG),Citilink ,A320 (PK-GQC) ,Departed 10:47 AM,Departure
BDJ,10:20:00 AM,GA535,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GMM) ,Departed 10:38 AM,Departure
BDJ,10:45:00 AM,IU627,Jakarta (CGK),Super Air Jet ,320,Unknown,Departure
BDJ,11:40:00 AM,JT3319,Surabaya (SUB),Lion Air (20 years Sticker) ,B739 (PK-LHM) ,Departed 11:57 AM,Departure
BDJ,11:55:00 AM,IU623,Jakarta (CGK),Super Air Jet ,A320 (PK-SAV) ,Departed 12:28 PM,Departure
BDJ,11:55:00 AM,IW1398,Muara Teweh (HMS),Wings Air ,AT76 (PK-WJU) ,Departed 3:04 PM,Departure
BDJ,12:00:00 PM,IW1382,Batu Licin (BTW),Wings Air ,AT76 (PK-WGL) ,Departed 1:06 PM,Departure
BDJ,12:00:00 PM,JT845,Denpasar (DPS),Lion Air ,B739 (PK-LGR) ,Departed 12:13 PM,Departure
BDJ,12:05:00 PM,QG487,Surabaya (SUB),Citilink ,A320 (PK-GQS) ,Departed 12:20 PM,Departure
BDJ,12:30:00 PM,JT3845,Denpasar (DPS),Lion Air ,B739 (PK-LSK) ,Departed 12:59 PM,Departure
BDJ,12:50:00 PM,JT325,Jakarta (CGK),Lion Air ,B739 (PK-LSS) ,Departed 1:45 PM,Departure
BDJ,1:05:00 PM,QG491,Jakarta (CGK),Citilink ,A320 (PK-GQP) ,Departed 2:12 PM,Departure
BDJ,1:10:00 PM,IU633,Surabaya (SUB),Super Air Jet ,A320 (PK-SJH) ,Departed 1:49 PM,Departure
BDJ,1:40:00 PM,JT521,Yogyakarta (YIA),Lion Air ,B739 (PK-LSP) ,Departed 2:07 PM,Departure
BDJ,2:00:00 PM,QZ619,Denpasar (DPS),AirAsia ,A320 (PK-AZD) ,Departed 1:59 PM,Departure
BDJ,2:05:00 PM,QG481,Jakarta (CGK),Citilink ,A320 (PK-GQC) ,Departed 2:43 PM,Departure
BDJ,2:50:00 PM,IW1384,Balikpapan (BPN),Wings Air ,AT76 (PK-WGL) ,Departed 3:32 PM,Departure
BDJ,3:20:00 PM,GA537,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFV) ,Departed 4:02 PM,Departure
BDJ,3:50:00 PM,JT547,Semarang (SRG),Lion Air ,B739 (PK-LGR) ,Departed 4:23 PM,Departure
BDJ,4:05:00 PM,JT223,Surabaya (SUB),Lion Air ,B739 (PK-LHI) ,Departed 4:15 PM,Departure
BDJ,4:10:00 PM,JT524,Makassar (UPG),Lion Air ,B739 (PK-LST) ,Departed 5:04 PM,Departure
BDJ,4:30:00 PM,JT323,Jakarta (CGK),Lion Air ,739,Unknown,Departure
BDJ,5:00:00 PM,IU637,Surabaya (SUB),Super Air Jet ,A320 (PK-SJH) ,Departed 5:43 PM,Departure
BDJ,5:25:00 PM,IP631,Jakarta (CGK),Pelita Air ,A320 (PK-PWI) ,Estimated dep. 5:39 PM,Departure
BDJ,5:25:00 PM,IP613,Jakarta (CGK),Pelita Air ,A320 (PK-PWG) ,Departed 5:38 PM,Departure
BDJ,5:55:00 PM,ID6211,Jakarta (CGK),Batik Air ,A320 (PK-BKQ) ,Departed 6:52 PM,Departure
BDJ,6:50:00 PM,QG489,Surabaya (SUB),Citilink ,A320 (PK-GQP) ,Departed 8:16 PM,Departure
BDJ,8:05:00 PM,QG495,Surabaya (SUB),Citilink ,A320 (PK-GQF) ,Departed 8:22 PM,Departure
BEJ,8:45:00 AM,ID6430,Jakarta (CGK),Batik Air ,A320 (PK-LUT) ,Unknown,Arrival
BEJ,10:00:00 AM,IW1366,Balikpapan (BPN),Wings Air ,AT76 (PK-WJG) ,Unknown,Arrival
BEJ,10:00:00 AM,IW1362,Balikpapan (BPN),Wings Air ,AT76 (PK-WJG) ,Unknown,Arrival
BEJ,11:35:00 AM,QG1402,Balikpapan (BPN),Citilink ,AT76 (PK-GJS) ,Unknown,Arrival
BEJ,12:50:00 PM,IW1484,Samarinda (AAP),Wings Air ,AT76 (PK-WJG) ,Unknown,Arrival
BEJ,1:40:00 PM,ID6346,Surabaya (SUB),Batik Air ,A320 (PK-LUO) ,Unknown,Arrival
BEJ,2:15:00 PM,IW1364,Balikpapan (BPN),Wings Air ,AT75 (PK-WFP) ,Unknown,Arrival
BEJ,3:15:00 PM,QG1404,Balikpapan (BPN),Citilink ,AT76 (PK-GJS) ,Unknown,Arrival
BEJ,5:45:00 PM,IW1378,Balikpapan (BPN),Wings Air ,AT7 ,Canceled,Arrival
BEJ,5:45:00 PM,IW1380,Balikpapan (BPN),Wings Air ,AT76 (PK-WGL) ,Unknown,Arrival
BEJ,6:15:00 PM,IW1360,Balikpapan (BPN),Wings Air ,AT7 ,Canceled,Arrival
BEJ,7:00:00 AM,IW1361,Balikpapan (BPN),Wings Air ,AT76 (PK-WJG) ,Departed 7:12 AM,Departure
BEJ,7:50:00 AM,IW1363,Balikpapan (BPN),Wings Air ,AT7 ,Canceled,Departure
BEJ,9:30:00 AM,ID6431,Jakarta (CGK),Batik Air ,A320 (PK-LUT) ,Departed 9:38 AM,Departure
BEJ,9:40:00 AM,IW1381,Balikpapan (BPN),Wings Air ,AT75 (PK-WFJ) ,Departed 9:28 AM,Departure
BEJ,10:30:00 AM,IW1485,Samarinda (AAP),Wings Air ,AT76 (PK-WJG) ,Departed 10:31 AM,Departure
BEJ,11:10:00 AM,IW1365,Balikpapan (BPN),Wings Air ,AT75 (PK-WFP) ,Departed 11:01 AM,Departure
BEJ,12:05:00 PM,QG1403,Balikpapan (BPN),Citilink ,AT76 (PK-GJS) ,Departed 12:11 PM,Departure
BEJ,1:10:00 PM,IW1367,Balikpapan (BPN),Wings Air ,AT7 ,Canceled,Departure
BEJ,2:20:00 PM,ID6347,Surabaya (SUB),Batik Air ,A320 (PK-LUO) ,Departed 2:26 PM,Departure
BEJ,2:40:00 PM,IW1379,Balikpapan (BPN),Wings Air ,AT7 ,Canceled,Departure
BEJ,3:40:00 PM,QG1405,Balikpapan (BPN),Citilink ,AT76 (PK-GJS) ,Departed 4:34 PM,Departure
BIK,7:00:00 AM,SJ582,Makassar (UPG),Sriwijaya Air ,738,Unknown,Arrival
BIK,7:05:00 AM,JT800,Makassar (UPG),Lion Air ,739,Unknown,Arrival
BIK,7:05:00 AM,JT938,Makassar (UPG),Lion Air ,B738 (PK-LOJ) ,Landed 8:05 AM,Arrival
BIK,7:05:00 AM,JT1880,Makassar (UPG),Lion Air ,738,Unknown,Arrival
BIK,9:25:00 AM,IL294,Serui (ZRI),Trigana Air ,AT4 ,Unknown,Arrival
BIK,10:55:00 AM,JT939,Jayapura (DJJ),Lion Air ,B738 (PK-LOJ) ,Landed 12:50 PM,Arrival
BIK,11:05:00 AM,SJ583,Jayapura (DJJ),Sriwijaya Air ,738,Unknown,Arrival
BIK,12:05:00 PM,GA651,Jayapura (DJJ),Garuda Indonesia ,B738 (PK-GMI) ,Landed 12:26 PM,Arrival
BIK,7:45:00 AM,JT938,Jayapura (DJJ),Lion Air ,B738 (PK-LOJ) ,Departed 9:51 AM,Departure
BIK,7:45:00 AM,SJ582,Jayapura (DJJ),Sriwijaya Air ,738,Unknown,Departure
BIK,9:55:00 AM,IL293,Serui (ZRI),Trigana Air ,AT4 ,Unknown,Departure
BIK,11:45:00 AM,JT939,Makassar (UPG),Lion Air ,B738 (PK-LOJ) ,Departed 1:49 PM,Departure
BIK,11:45:00 AM,SJ583,Makassar (UPG),Sriwijaya Air ,738,Unknown,Departure
BIK,11:45:00 AM,JT709,Makassar (UPG),Lion Air ,738,Unknown,Departure
BIK,1:05:00 PM,GA650,Jayapura (DJJ),Garuda Indonesia ,B738 (PK-GMI) ,Departed 1:18 PM,Departure
BJW,11:55:00 AM,IW1927,Kupang (KOE),Wings Air ,AT76 (PK-WHM) ,Unknown,Arrival
BJW,2:05:00 PM,IW1926,Labuan Bajo (LBJ),Wings Air ,AT76 (PK-WHM) ,Landed 2:45 PM,Arrival
BJW,12:15:00 PM,IW1927,Labuan Bajo (LBJ),Wings Air ,AT76 (PK-WHM) ,Departed 12:52 PM,Departure
BJW,2:30:00 PM,IW1926,Kupang (KOE),Wings Air ,AT76 (PK-WHM) ,Departed 3:12 PM,Departure
BKS,10:10:00 AM,JT638,Jakarta (CGK),Lion Air ,739,Canceled,Arrival
BKS,11:45:00 AM,QG990,Jakarta (CGK),Citilink ,A320 (PK-GLO) ,Landed 11:49 AM,Arrival
BKS,12:00:00 PM,IU834,Jakarta (CGK),Super Air Jet ,A320 (PK-STF) ,Landed 12:19 PM,Arrival
BKS,1:20:00 PM,GA296,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GUD) ,Landed 1:22 PM,Arrival
BKS,2:05:00 PM,JT636,Jakarta (CGK),Lion Air (80th 737NG Livery) ,B738 (PK-LKP) ,Landed 2:01 PM,Arrival
BKS,5:55:00 PM,JT630,Jakarta (CGK),Lion Air ,B738 (PK-LKW) ,Landed 6:10 PM,Arrival
BKS,7:00:00 AM,JT631,Jakarta (CGK),Lion Air ,B739 (PK-LSV) ,Departed 7:08 AM,Departure
BKS,10:50:00 AM,JT639,Jakarta (CGK),Lion Air ,739,Canceled,Departure
BKS,12:15:00 PM,QG991,Jakarta (CGK),Citilink ,A320 (PK-GLO) ,Departed 12:31 PM,Departure
BKS,12:40:00 PM,IU835,Jakarta (CGK),Super Air Jet ,A320 (PK-STF) ,Departed 1:07 PM,Departure
BKS,2:05:00 PM,GA297,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GUD) ,Departed 2:15 PM,Departure
BKS,2:45:00 PM,JT637,Jakarta (CGK),Lion Air (80th 737NG Livery) ,B738 (PK-LKP) ,Departed 2:56 PM,Departure
BMU,4:25:00 PM,IW1864,Lombok (LOP),Wings Air ,AT75 (PK-WFR) ,Landed 4:59 PM,Arrival
BMU,4:35:00 PM,IW1826,Denpasar (DPS),Wings Air ,AT76 (PK-WGK) ,Landed 5:32 PM,Arrival
BMU,7:15:00 AM,IW1827,Denpasar (DPS),Wings Air ,AT75 (PK-WFH) ,Departed 7:12 AM,Departure
BMU,7:30:00 AM,IW1865,Lombok (LOP),Wings Air ,AT76 (PK-WHW) ,Departed 7:34 AM,Departure
BPN,2:15:00 AM,RI350,Jakarta (CGK),Rimbun Air ,73F ,Unknown,Arrival
BPN,7:35:00 AM,IU610,Surabaya (SUB),Super Air Jet ,A320 (PK-SAY) ,Landed 7:24 AM,Arrival
BPN,7:40:00 AM,ID6252,Jakarta (CGK),Batik Air ,A320 (PK-LUU) ,Landed 7:32 AM,Arrival
BPN,7:45:00 AM,IW1394,Banjarmasin (BDJ),Wings Air ,AT7 ,Canceled,Arrival
BPN,7:45:00 AM,QG430,Surabaya (SUB),Citilink ,A20N (PK-GTA) ,Landed 7:28 AM,Arrival
BPN,7:50:00 AM,IU535,Makassar (UPG),Super Air Jet ,A320 (PK-SJH) ,Landed 8:30 AM,Arrival
BPN,8:15:00 AM,IW1361,Kalimarau (BEJ),Wings Air ,AT76 (PK-WJG) ,Landed 8:10 AM,Arrival
BPN,8:35:00 AM,JT266,Surabaya (SUB),Lion Air ,B739 (PK-LHP) ,Landed 8:37 AM,Arrival
BPN,9:05:00 AM,GA560,Jakarta (CGK),Garuda Indonesia (Retro Livery) ,A333 (PK-GHD) ,Landed 9:04 AM,Arrival
BPN,9:05:00 AM,IW1363,Kalimarau (BEJ),Wings Air ,AT7 ,Canceled,Arrival
BPN,9:15:00 AM,QG436,Jakarta (CGK),Citilink ,A320 (PK-GQE) ,Landed 8:54 AM,Arrival
BPN,9:40:00 AM,IP600,Jakarta (CGK),Pelita Air ,A320 (PK-PWA) ,Landed 9:32 AM,Arrival
BPN,9:45:00 AM,JT624,Semarang (SRG),Lion Air ,B739 (PK-LFW) ,Landed 9:41 AM,Arrival
BPN,10:10:00 AM,IW1386,Banjarmasin (BDJ),Wings Air ,AT76 (PK-WGL) ,Landed 10:22 AM,Arrival
BPN,10:10:00 AM,GM61,Jakarta (HLP),Asia Cargo Airlines ,B733 (PK-MGI) ,Landed 10:11 AM,Arrival
BPN,10:15:00 AM,JT756,Jakarta (CGK),Lion Air ,B39M (PK-LRI) ,Landed 9:54 AM,Arrival
BPN,10:20:00 AM,TR222,Singapore (SIN),Scoot ,A320 (9V-TRS) ,Landed 10:19 AM,Arrival
BPN,10:35:00 AM,IU676,Yogyakarta (YIA),Super Air Jet ,A320 (PK-STS) ,Landed 10:29 AM,Arrival
BPN,10:45:00 AM,IU612,Surabaya (SUB),Super Air Jet ,A320 (PK-STC) ,Landed 10:37 AM,Arrival
BPN,10:50:00 AM,IP621,Surabaya (SUB),Pelita Air ,A320 (PK-PWL) ,Landed 10:14 AM,Arrival
BPN,10:55:00 AM,IW1381,Kalimarau (BEJ),Wings Air ,AT75 (PK-WFJ) ,Landed 10:24 AM,Arrival
BPN,11:10:00 AM,IU666,Pontianak (PNK),Super Air Jet ,A320 (PK-SJI) ,Landed 11:26 AM,Arrival
BPN,11:10:00 AM,QG438,Jakarta (CGK),Citilink ,A320 (PK-GLX) ,Landed 11:40 AM,Arrival
BPN,11:20:00 AM,JT260,Surabaya (SUB),Lion Air ,B739 (PK-LHP) ,Landed 1:32 PM,Arrival
BPN,11:30:00 AM,JT669,Yogyakarta (YIA),Lion Air ,B739 (PK-LGW) ,Landed 11:17 AM,Arrival
BPN,11:35:00 AM,IU534,Tarakan (TRK),Super Air Jet ,A320 (PK-SAY) ,Landed 12:24 PM,Arrival
BPN,11:50:00 AM,GA564,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GMC) ,Landed 11:51 AM,Arrival
