AIRPORT,TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS,TYPE
SUB,2:00:00 PM,JT836,Pontianak (PNK),Lion Air ,B738 (PK-LJV) ,Departed 2:52 PM,Departure
SUB,2:00:00 PM,QG171,Jakarta (HLP),Citilink ,A320 (PK-GQM) ,Departed 2:13 PM,Departure
SUB,2:05:00 PM,IU542,Makassar (UPG),Super Air Jet ,320,Unknown,Departure
SUB,2:05:00 PM,IU636,Banjarmasin (BDJ),Super Air Jet ,A320 (PK-SJH) ,Departed 3:00 PM,Departure
SUB,2:15:00 PM,ID6573,Jakarta (CGK),Batik Air ,32A ,Canceled,Departure
SUB,2:20:00 PM,QG948,Batam (BTH),Citilink ,A20N (PK-GTA) ,Departed 2:48 PM,Departure
SUB,2:35:00 PM,QZ326,Kuala Lumpur (KUL),AirAsia ,A320 (PK-AZM) ,Departed 3:25 PM,Departure
SUB,2:40:00 PM,3K248,Singapore (SIN),Jetstar ,A320 (9V-JSX) ,Departed 2:40 PM,Departure
SUB,2:50:00 PM,JT749,Jakarta (CGK),Lion Air ,B739 (PK-LHO) ,Unknown,Departure
SUB,2:50:00 PM,JT372,Jakarta (CGK),Lion Air ,738,Unknown,Departure
SUB,2:55:00 PM,ID7514,Jakarta (HLP),Batik Air ,A320 (PK-LUH) ,Departed 3:04 PM,Departure
SUB,2:55:00 PM,JT730,Balikpapan (BPN),Lion Air ,B739 (PK-LHP) ,Departed 4:01 PM,Departure
SUB,3:05:00 PM,JT910,Denpasar (DPS),Lion Air ,B739 (PK-LGP) ,Departed 4:09 PM,Departure
SUB,3:05:00 PM,QG434,Balikpapan (BPN),Citilink ,A320 (PK-GQH) ,Departed 3:57 PM,Departure
SUB,3:10:00 PM,ID6401,Jakarta (CGK),Batik Air ,32A ,Unknown,Departure
SUB,3:10:00 PM,IP209,Jakarta (CGK),Pelita Air ,A320 (PK-PWA) ,Departed 3:19 PM,Departure
SUB,3:30:00 PM,IU544,Makassar (UPG),Super Air Jet ,320,Unknown,Departure
SUB,3:30:00 PM,QZ392,Johor Bahru (JHB),AirAsia ,A320 (PK-AZL) ,Departed 3:31 PM,Departure
SUB,3:40:00 PM,ID7512,Jakarta (HLP),Batik Air ,A320 (PK-LUO) ,Departed 4:27 PM,Departure
SUB,3:40:00 PM,JT316,Banjarmasin (BDJ),Lion Air ,B739 (PK-LHS) ,Departed 3:56 PM,Departure
SUB,3:40:00 PM,ID7065,Jakarta (HLP),Batik Air ,32A ,Unknown,Departure
SUB,3:50:00 PM,MH872,Kuala Lumpur (KUL),Malaysia Airlines ,B738 (9M-MSF) ,Departed 4:26 PM,Departure
SUB,4:00:00 PM,JT362,Balikpapan (BPN),Lion Air ,739,Unknown,Departure
SUB,4:00:00 PM,JT884,Makassar (UPG),Lion Air ,738,Unknown,Departure
SUB,4:05:00 PM,JT856,Palembang (PLM),Lion Air ,B738 (PK-LKK) ,Departed 4:55 PM,Departure
SUB,4:15:00 PM,ID6587,Jakarta (CGK),Batik Air ,B738 (PK-LZZ) ,Departed 4:30 PM,Departure
SUB,4:15:00 PM,ID6862,Jakarta (CGK),Batik Air ,32A ,Unknown,Departure
SUB,4:30:00 PM,GA315,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFP) ,Departed 4:51 PM,Departure
SUB,4:30:00 PM,SJ562,Makassar (UPG),Sriwijaya Air ,738,Unknown,Departure
SUB,4:30:00 PM,SQ927,Singapore (SIN),Singapore Airlines ,B38M (9V-MBG) ,Departed 4:34 PM,Departure
